DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Montenegro,2015,3309,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Montenegro,2016,3395,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Montenegro,2017,3667,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Montenegro,2018,3898,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Montenegro,2019,3993,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Montenegro,2020,4085,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Montenegro,2021,4047,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Montenegro,2022,4500,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2015,2160,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2016,2272,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2017,2525,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2018,2694,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2019,2842,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2020,3058,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2021,3273,b,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2022,3671,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,North Macedonia,2023,4196,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2015,14951,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2016,15288,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2017,16661,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2018,17001,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2019,17429,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2020,17937,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2021,19526,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2022,20110,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2023,21432,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Malta,2024,22874,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2015,22611,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2016,24408,b,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2017,25816,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2018,26352,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2019,26843,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2020,28071,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2021,30381,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2022,32071,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2023,32099,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2024,35036,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Netherlands,2025,37922,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2015,42502,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2016,40681,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2017,39321,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2018,40101,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2019,39450,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2020,40739,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2021,36809,b,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2022,39780,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2023,42606,b,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Norway,2024,40826,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2015,5825,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2016,6261,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2017,6352,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2018,7042,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2019,7697,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2020,8681,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2021,8939,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2022,9650,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2023,10850,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Poland,2024,12708,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Portugal,2015,8975,,
ESTAT:ILC_DI03(1.0),06/03/26 11:00:00,Annual,From 25 to 49 years,Total,Median equivalised net income,Euro,Portugal,2016,9260,,
